# Single SKU Max Power Table                                                      
# 2.4G Channel CCK    OFDM        VHT20          VHT40          Txstream_Delta                     
Band: 2.4G CCK_1M CCK_2M CCK_5.5M CCK_11M OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 Txstream_3T Txstream_2T Txstream_1T                   
Ch1 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch2 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch3 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch4 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch5 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch6 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch7 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch8 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch9 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch10 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch11 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch12 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch13 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
Ch14 25  25  25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0                   
                                                      
# 5G Channel OFDM        VHT20          VHT40          VHT80          VHT160          Txstream_Delta     
Band: 5G OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 VHT80_MCS0 VHT80_MCS1 VHT80_MCS2 VHT80_MCS3 VHT80_MCS4 VHT80_MCS5 VHT80_MCS6 VHT80_MCS7 VHT80_MCS8 VHT80_MCS9 VHT160_MCS0 VHT160_MCS1 VHT160_MCS2 VHT160_MCS3 VHT160_MCS4 VHT160_MCS5 VHT160_MCS6 VHT160_MCS7 VHT160_MCS8 VHT160_MCS9 Txstream_3T Txstream_2T Txstream_1T   
Ch184 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch188 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch192 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch196 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch8 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch12 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch16 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch36 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch40 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch44 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 17 17  17  17  17 17 17 25 25  25  25  25 25 25 0 0 0   
Ch48 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch52 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch56 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch60 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch64 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch68 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch72 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch76 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch80 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch84 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
Ch88 25  25  25  25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 25 25  25  25  25 25 25 0 0 0   
