28988;A-Mobile
28968;A-Mobile
28967;Aquafon
41288;Afghan Telecom Corp. (AT)
41280;Afghan Telecom Corp. (AT)
41201;Afghan Wireless/AWCC
41240;Areeba/MTN
41250;Etisalat
41230;Etisalat
41220;Roshan/TDCA
41203;WaselTelecom (WT)
27601;AMC/Cosmote
27603;Eagle Mobile
27604;PLUS Communication Sh.a
27602;Vodafone
60301;ATM Mobils
60302;Orascom / DJEZZY
60303;Oreedo/Wataniya / Nedjma
54411;Blue Sky Communications
21303;Mobiland
63104;MoviCel
63102;Unitel
365840;Cable and Wireless
36510;Digicell / Wireless Vent. Ltd
34430;APUA PCS
344920;C & W
344930;DigiCel/Cing. Wireless
722310;Claro/ CTI/AMX
722330;Claro/ CTI/AMX
722320;Claro/ CTI/AMX
72210;Compania De Radiocomunicaciones Moviles SA
72270;Movistar/Telefonica
72207;Movistar/Telefonica
72220;Nextel
722340;Telecom Personal S.A.
722341;Telecom Personal S.A.
28301;ArmenTel/Beeline
28304;Karabakh Telecom
28310;Orange
28305;Vivacell
36320;Digicel
36302;Digicel
36301;Setar GSM
50514;AAPT Ltd.
50524;Advanced Comm Tech Pty.
50509;Airnet Commercial Australia Ltd..
50504;Department of Defense
50526;Dialogue Communications Pty Ltd
50512;H3G Ltd.
50506;H3G Ltd.
50588;Pivotel Group Ltd
50519;Lycamobile Pty Ltd
50508;Railcorp/Vodafone
50599;Railcorp/Vodafone
50513;Railcorp/Vodafone
50590;Singtel Optus
50502;Singtel Optus
50501;Telstra Corp. Ltd.
50511;Telstra Corp. Ltd.
50571;Telstra Corp. Ltd.
50572;Telstra Corp. Ltd.
50505;The Ozitel Network Pty.
50516;Victorian Rail Track Corp. (VicTrack)
50507;Vodafone
50503;Vodafone
23209;A1 MobilKom
23202;A1 MobilKom
23201;A1 MobilKom
23211;A1 MobilKom
23215;T-Mobile/Telering
2320;Fix Line
23210;H3G
23214;H3G
23220;Mtel
23206;3/Orange/One Connect
23212;3/Orange/One Connect
23205;3/Orange/One Connect
23217;Spusu/Mass Response
23204;T-Mobile/Telering
23203;T-Mobile/Telering
23213;T-Mobile/Telering
23207;T-Mobile/Telering
23219;Tele2
23208;A1 MobilKom
40001;Azercell Telekom B.M.
40004;Azerfon.
40003;CATEL
