//Generated file from AQARCH/reg/Probe/Makefile for IDE
ProbeCount_PpaInputVtx,0x000E0001,PPA,Y,"PPA input vertex count 
Tips: the number of vertex after being divided into cluster.
PPA: Position Primitive Assembly"
ProbeCount_PpaInputPrim,0x000E0002,PPA,Y,"PPA input primitive count 
Tips: this counter represents the number of primitive which includs triangle, line and point.
PPA: Position Primitive Assembly"
ProbeCount_PpaOutputPrim,0x000E0003,PPA,Y,"PPA output primitve count 
Tips: if output primitive count is smaller than input, it may caused by cull operation. if bigger, it may be that the triangle is larger and a new triangle is generated when it intersects with the screen.
PPA: Position Primitive Assembly"
ProbeCount_PpaInputTri,0x000E0004,PPA,Y,"PPA input triangle count
PPA: Position Primitive Assembly"
ProbeCount_PpaInputLine,0x000E0005,PPA,Y,"PPA input Line count 
Tips: in our architecture, the line will be split into two triangles.
PPA: Position Primitive Assembly"
ProbeCount_PpaInputPoint,0x000E0006,PPA,Y,"PPA input point count 
Tips: in our architecture, the point will be split into two triangles.
PPA: Position Primitive Assembly"
ProbeCount_PpaTrivialRejPrim,0x000E0007,PPA,Y,"PPA trivial rejected primitive count 
Tips: the number of primitives culled by the frustum.
PPA: Position Primitive Assembly"
ProbeCount_PpaDropPrim,0x000E0008,PPA,Y,"PPA dropped primitive count  by GPU checker-board / viewport  checking 
Tips: the primitive outside the checkboard or viewport will be killed. The larger the value, the more invisible primitives are optimized.
PPA: Position Primitive Assembly"
ProbeCount_PpaCullPrim,0x000E0009,PPA,Y,"PPA backface zero area culled primitive count 
Tips: it is mainly used to determine the visible face. If the front of the triangle faces away drom the camera or the area is 0, the triangle will be discarded.
PPA: Position Primitive Assembly"
ProbeCount_PpaFrustumClipPrim,0x000E000A,PPA,Y,"PPA Frustum clipped or varying point size primitive count 
Tips: during the clipping process, the intersection with the screen will form a new triangle. If there are many intersections, FinalPA will take longer to work.
PPA: Position Primitive Assembly"
ProbeCycle_PpaBusy,0x000E0010,PPA,Y,"PPA busy cycle 
Tips: PPA is responsible for fast culling and distributing to targeted clusters. The more time PPA is busy, the lower the rendering efficiency.
PPA: Position Primitive Assembly"
ProbeCycle_ReqPpaVldAndUscRdy,0x000E0011,PPA,N,"PPA Read USC total request count - PPA ready and USC ready
PPA: Position Primitive Assembly. USC: Universal Storage and Cache"
ProbeCycle_ReqPpaVldAndUscNotRdy,0x000E0012,PPA,N,"PPA Read USC Request  - PPA ready  and USC not Ready.
PPA: Position Primitive Assembly. USC: Universal Storage and Cache"
ProbeCycle_DataUscVldAndPpaRdy,0x000E0013,PPA,N,"USC Read data return total valid data cycle.
PPA: Position Primitive Assembly. USC: Universal Storage and Cache"
ProbeCycle_DataUscVldAndPpaNotRdy,0x000E0014,PPA,N,"USC Read data return total cycles that Ppa is not ready. 
PPA: Position Primitive Assembly. USC: Universal Storage and Cache"
ProbeCycle_PpaVldAndWdRdy,0x000E0015,PPA,N,"PPA transmit valid and WD ready to receive.
PPA: Position Primitive Assembly. WD: Work Distributor"
ProbeCycle_PpaVldAndWdNotRdy,0x000E0016,PPA,N,"PA transmit valid and WD not ready to receive.
PPA: Position Primitive Assembly. WD: Work Distributor"
ProbeCycle_Ppa2UscRdTotalLatency,0x000E0017,PPA,N,"PPA to USC Read total latency count (40bit).
PPA: Position Primitive Assembly. USC: Universal Storage and Cache"
ProbeCycle_PpaUscReqStallByCredit,0x000E0018,PPA,N,"PPA to USC request stalled by Credit.
PPA: Position Primitive Assembly. USC: Universal Storage and Cache"
ProbeCycle_PpaUscDataNotAvailable,0x000E0019,PPA,N,"PPA to USC data not avaliable.
PPA: Position Primitive Assembly. USC: Universal Storage and Cache"
ProbeCount_PpaCommonCorePLAVCycle,0x000E001A,PPA,N,"Number of cycles processing Points, Lines, Area and Viewport calculations on the common core.
PPA: Position Primitive Assembly"
ProbeCount_PpaCommonCoreClipCycle,0x000E001B,PPA,N,"0 for PosPA. 
PPA: Position Primitive Assembly"
ProbeCycle_PpaGlobalTimerStartLo,0x000E00FA,PPA,N,"Virtual Only Counter for reading GlobalTimer Draw Start Time(Lo 32bit).
PPA: Position Primitive Assembly"
ProbeCycle_PpaGlobalTimerStartHi,0x000E00FB,PPA,N,"Virtual Only Counter for reading GlobalTimer Draw Start Time(Hi 32bit).
PPA: Position Primitive Assembly"
ProbeCycle_PpaGlobalTimerEndLo,0x000E00FC,PPA,N,"Virtual Only Counter for reading GlobalTimer Draw End Time(Lo 32bit).
PPA: Position Primitive Assembly"
ProbeCycle_PpaGlobalTimerEndHi,0x000E00FD,PPA,N,"Virtual Only Counter for reading GlobalTimer Draw End Time(Hi 32bit).
PPA: Position Primitive Assembly"
ProbeCycle_PpaGlobalTimerLo,0x000E00FE,PPA,N,"PPA global free running timer(Lo 32bit).
PPA: Position Primitive Assembly"
ProbeCycle_PpaGlobalTimerHi,0x000E00FF,PPA,N,"PPA global free running timer(Hi 32bit).
PPA: Position Primitive Assembly"
ProbeCount_ClipInputPrimLo,0x000E1001,PPA,N,Number of primitives that were processed by clip stage currently the same with PpaInputPirm.
ProbeCount_ClipInputPrimHi,0x000E1002,PPA,N,Number of primitives that were processed by clip stage.
ProbeCount_FpaInputVtx,0x000F0001,FPA,Y,"FPA input vertex count 
Tips: this counter represents the number of vertex input. Since PositionPA will do some cull operation the counter may be smaller than the number of vertex input by PositionPA. The smaller the counter is, the smaller the workload of triangles processed by the subsequent pipeline will be.
FPA: Final Primitive Assembly"
ProbeCount_FpaInputPrim,0x000F0002,FPA,Y,"FPA input primitive count
Tips: this counter represents the number of primitive which includs triangle line and point.
FPA: Final Primitive Assembly"
ProbeCount_FpaOutputPrim,0x000F0003,FPA,Y,"FPA output primitive count
Tips: if output primitive count is smaller than input, it may caused by cull operation. If bigger, it may be that the triangle is larger and a new triangle is generated when it intersects with the screen.
FPA: Final Primitive Assembly"
ProbeCount_FpaInputTri,0x000F0004,FPA,Y,"FPA input trianle count
FPA: Final Primitive Assembly"
ProbeCount_FpaInputLine,0x000F0005,FPA,Y,"FPA input Line count 
Tips: in our architecture, the line will be split into two triangles.
FPA: Final Primitive Assembly"
ProbeCount_FpaInputPoint,0x000F0006,FPA,Y,"FPA input point count
Tips: in our architecture, the point will be split into two triangles.
FPA: Final Primitive Assembly"
ProbeCount_FpaDropPrim,0x000F0008,FPA,Y,"FPA dropped primitive count by GPU checker-board / viewport  checking
Tips: the primitive outside the checkboard or viewport will be killed. The larger the value, the more invisible primitives are optimized.
FPA: Final Primitive Assembly"
ProbeCount_FpaCullPrim,0x000F0009,FPA,Y,"FPA backface zero area culled primitive count
Tips: it is mainly used to determine the visible face. If the front of the triangle faces away drom the camera or the area is 0, the triangle will be discarded.
FPA: Final Primitive Assembly"
ProbeCount_FpaFrustumClipPrim,0x000F000A,FPA,Y,"FPA frustum clipped primitive count
Tips: during the clipping process, the intersection with the screen will form a new triangle. If there are many intersections, FinalPA will take longer to work.
FPA: Final Primitive Assembly"
ProbeCycle_FpaFrustumClipActive,0x000F000B,FPA,N,"Number of cycles clipping against the frustum.
FPA: Final Primitive Assembly"
ProbeCycle_FpaBusy,0x000F0010,FPA,Y,"FPA busy cycle count
Tips: FinalPA is dedicated inside a cluster which is responsible for culling/check board checking/frustum clipping/point/line handling. The more time FPA is busy, the lower the rendering efficiency.
FPA: Final Primitive Assembly"
ProbeCycle_ReqFpaVldAndUscRdy,0x000F0011,FPA,N,"FPA Read USC total request cycle - FPA ready and USC ready
FPA: Final Primitive Assembly. USC: Universal Storage Controller"
ProbeCycle_ReqFpaVldAndUscNotRdy,0x000F0012,FPA,N,"FPA Read USC Request cycle - FPA ready and USC not Ready.
FPA: Final Primitive Assembly. USC: Universal Storage Controller"
ProbeCycle_DataUscVldAndFpaRdy,0x000F0013,FPA,N,"USC Read data return and FPA ready total valid data cycle.
FPA: Final Primitive Assembly. USC: Universal Storage Controller"
ProbeCycle_DataUscVldAndFpaNotRdy,0x000F0014,FPA,N,"USC Read data return and FPA not ready total cycles
FPA: Final Primitive Assembly. USC: Universal Storage Controller"
ProbeCycle_FpaVldAndSeRdy,0x000F0015,FPA,N,"The cycle of PA transmit valid and SE ready to receive.
FPA: Final Primitive Assembly. SE: Setup Engine"
ProbeCycle_FpaVldAndSeNotRdy,0x000F0016,FPA,N,"The cycle of FPA transmit valid and SE not ready to receive.
FPA: Final Primitive Assembly. SE: Setup Engine"
ProbeCycle_Fpa2UscRdTotalLatency,0x000F0017,FPA,N,"FPA to USC read total latency cycle count (40bit).
FPA: Final Primitive Assembly. USC: Universal Storage Controller"
ProbeCycle_FpaUscReqStallByCredit,0x000F0018,FPA,N,"The cycle of FPA to USC request stalled by credit.
FPA: Final Primitive Assembly. USC: Universal Storage Controller"
ProbeCycle_FpaUscDataNotAvailable,0x000F0019,FPA,N,"The cycle of FPA to USC data not avaliable.
FPA: Final Primitive Assembly. USC: Universal Storage Controller"
ProbeCount_FpaCommonCorePLAVCycle,0x000F001A,FPA,N,"Number of cycle that processing Points, Lines, Area and Viewport calculations on the common core.
FPA: Final Primitive Assembly"
ProbeCount_FpaCommonCoreClipCycle,0x000F001B,FPA,N,"Number of cycle that the clip processing actively uses the common core.
FPA: Final Primitive Assembly"
ProbeCycle_Fpa2SeNotVldData,0x000F001C,FPA,N,"FPA to SE data starve cycle.
FPA: Final Primitive Assembly. SE: Setup Engine"
ProbeCycle_FpaGlobalTimerStartLo,0x000F00FA,FPA,N,"Virtual Only Counter for reading GlobalTimer Draw Start Time(Lo 32bit).
FPA: Final Primitive Assembly"
ProbeCycle_FpaGlobalTimerStartHi,0x000F00FB,FPA,N,"Virtual Only Counter for reading GlobalTimer Draw Start Time(Hi 32bit).
FPA: Final Primitive Assembly"
ProbeCycle_FpaGlobalTimerEndLo,0x000F00FC,FPA,N,"Virtual Only Counter for reading GlobalTimer Draw End Time(Lo 32bit).
FPA: Final Primitive Assembly"
ProbeCycle_FpaGlobalTimerEndHi,0x000F00FD,FPA,N,"Virtual Only Counter for reading GlobalTimer Draw End Time(Hi 32bit).
FPA: Final Primitive Assembly"
ProbeCycle_FpaGlobalTimerLo,0x000F00FE,FPA,N,"FPA global free running timer(Lo 32bit).
FPA: Final Primitive Assembly"
ProbeCycle_FpaGlobalTimerHi,0x000F00FF,FPA,N,"FPA global free running timer(Hi 32bit).
FPA: Final Primitive Assembly"
ProbeCount_ClipOutputPrimLo,0x000F1001,FPA,N,Number of primitives output by clip stage. This may be larger or smaller than  because after a primitive is clipped sometimes it is either broken up into more than one primitive or completely culled
ProbeCount_ClipOutputPrimHi,0x000F1002,FPA,N,Number of primitives output by clip stage. This may be larger or smaller than CInvocations because after a primitive is clipped sometimes it is either broken up into more than one primitive or completely culled
